cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;m2_areasverdes;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;tamano_medio_del_hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más;Comercio_ServiciosMinoristas;Hosteleria_Restauracion;Salud_Bienestar_Educacion;Servicios_Profesionales;Cultura_Entretenimiento
28079;Madrid;7; Chamberí;72;Arapiles;28015;;24190;10831;13359;312;25;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;547;274;221;392;232
28079;Madrid;7; Chamberí;73;Trafalgar;28010;;24621;11147;13474;376;0;376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;62;0;4;0
28079;Madrid;7; Chamberí;74;Almagro;28010;;19418;8567;10851;310;34;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;311;309;875;238
28079;Madrid;7; Chamberí;75;RíosRosas;28003;;27163;11828;15335;380;54;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;76;Vallehermoso;28003;;19853;8619;11234;208;36;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;182;225;320;132
28079;Madrid;8; Fuencarral-El Pardo;81;ElPardo;28048;;3421;1716;1705;24;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;82;Fuentelarreina;28035;;3410;1559;1851;30;2;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;0;1;1;0
28079;Madrid;8; Fuencarral-El Pardo;83;Peñagrande;28035;;44341;20597;23744;336;20;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;84;Pilar;28029;;45610;20720;24890;396;115;281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;85;LaPaz;28029;;32192;14964;17228;156;1;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;86;Valverde;28034;;64757;30851;33906;561;184;377;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;0;3;0
28079;Madrid;8; Fuencarral-El Pardo;87;Mirasierra;28035;;35676;17160;18516;353;217;136;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;94;147;117;99
28079;Madrid;8; Fuencarral-El Pardo;88;ElGoloso;28049;;19036;9377;9659;177;121;56;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;91;CasadeCampo;28011;;12767;5958;6809;95;15;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;92;Argüelles;28008;;24497;11207;13290;333;88;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;3;0;3;0
28079;Madrid;9; Moncloa-Aravaca;93;CiudadUniversitaria;28040;;16364;7603;8761;109;8;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;94;Valdezarza;28039;;30484;14001;16483;241;3;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239;91;102;176;103
28079;Madrid;9; Moncloa-Aravaca;95;Valdemarín;28023;;7156;3339;3817;61;10;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;0;0;0;0
28079;Madrid;9; Moncloa-Aravaca;96;ElPlantío;28023;;3044;1413;1631;35;15;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;97;Aravaca;28023;;27445;12836;14609;200;9;191;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248;106;133;168;104
28079;Madrid;10; Latina;101;LosCármenes;28047;;17903;8484;9419;142;15;127;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;102;PuertadelÁngel;28011;;43292;20165;23127;532;117;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;103;Lucero;28047;;36749;17156;19593;396;63;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;397;159;106;214;163
