cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,codigo_Postal,num_personas,num_personas_hombres,num_personas_mujeres,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,num_lineas_buses,Renta neta media por persona,Renta neta media por hogar,Mediana de la renta por unidad de consumo,Renta bruta media por persona,Renta bruta media por hogar,Habitantes,Hogares,Tamaño medio del hogar,Tamaño del hogar (Nº de personas en la vivienda),hog_con_1,hog_con_2,hog_con_3,hog_con_4,hog_con_5,hog_con_6,hog_con_7,hog_con_8,hog_con_9,hog_con_10,hog_con_11,hog_con_12,hog_con_13,hog_con_14,hog_con_15 y más,Comercio y Servicios Minoristas,Entretenimiento y Ocio,Hostelería y Restauración,"Salud, Bienestar y Educación",Servicios Profesionales y Consultoría,Cultura y Entretenimiento
28079,Madrid,12,usera,122,orcasur,28041.0,14.39,6.987,7.403,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,58.0,39.0,78.0,47.0
28079,Madrid,12,usera,123,sanfermin,28041.0,23.598,11.246,12.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,12,usera,124,almendrales,28026.0,22.834,10.755,12.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,3.0,3.0,13.0,0.0
28079,Madrid,12,usera,125,moscardo,28026.0,26.579,12.531,14.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.0,,236.0,93.0,230.0,187.0
28079,Madrid,12,usera,126,zofio,28026.0,14.382,6.681,7.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,59.0,32.0,117.0,64.0
28079,Madrid,12,usera,127,pradolongo,28041.0,17.878,8.438,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,,135.0,58.0,209.0,131.0
28079,Madrid,13,puente de vallecas,131,entrevias,28053.0,35.399,16.976,18.423,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,3.0,1.0,5.0,0.0
28079,Madrid,13,puente de vallecas,132,sandiego,28053.0,45.104,21.593,23.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,13,puente de vallecas,133,palomerasbajas,28018.0,40.477,18.947,21.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,13,puente de vallecas,134,palomerassureste,28018.0,43.162,20.491,22.671,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,13,puente de vallecas,135,portazgo,28018.0,28.741,13.471,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,,123.0,83.0,176.0,173.0
28079,Madrid,13,puente de vallecas,136,numancia,28038.0,48.72,23.064,25.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,11.0,6.0,8.0,0.0
28079,Madrid,14,moratalaz,141,pavones,28030.0,8.814,4.035,4.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,1.0,4.0,12.0,0.0
28079,Madrid,14,moratalaz,142,horcajo,28030.0,6.339,3.029,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,15.0,29.0,24.0,8.0
28079,Madrid,14,moratalaz,143,marroquina,28030.0,26.12,11.962,14.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,138.0,126.0,164.0,198.0
28079,Madrid,14,moratalaz,144,medialegua,28030.0,17.323,7.828,9.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,14,moratalaz,145,fontarron,28030.0,17.333,7.876,9.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,48.0,45.0,54.0,46.0
28079,Madrid,14,moratalaz,146,vinateros,28030.0,16.885,7.482,9.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,43.0,33.0,55.0,69.0
28079,Madrid,15,ciudad lineal,151,ventas,28027.0,50.218,22.868,27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,4.0,7.0,12.0,0.0
28079,Madrid,15,ciudad lineal,152,pueblonuevo,28017.0,62.84,28.982,33.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,15,ciudad lineal,153,quintana,28027.0,25.469,11.449,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0,,188.0,148.0,329.0,231.0
28079,Madrid,15,ciudad lineal,154,concepcion,28027.0,20.941,9.402,11.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,184.0,117.0,324.0,157.0
28079,Madrid,15,ciudad lineal,155,sanpascual,28027.0,18.327,8.349,9.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,15,ciudad lineal,156,sanjuanbautista,28043.0,12.445,5.813,6.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,15,ciudad lineal,157,colina,28027.0,6.569,2.973,3.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,41.0,65.0,111.0,51.0
