cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;num_lineas_buses;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;Tamaño medio del hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más
28079;Madrid;16; Hortaleza;165;ApóstolSantiago;28033;15.435;7.344;8.091;138;8;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;16; Hortaleza;166;Valdefuentes;28033;69.176;33.831;35.345;674;262;412;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;17; Villaverde;171;VillaverdeAlto,CascoHistóricodeVillaverde;28055;47.817;22.826;24.991;11;0;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;17; Villaverde;172;SanCristóbal;28021;17.270;8.586;8.684;316;75;241;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;17; Villaverde;173;Butarque;28021;21.316;10.306;11.010;165;43;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;17; Villaverde;174;LosRosales;28021;37.808;18.121;19.687;336;68;268;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;17; Villaverde;175;Ángeles;28021;34.827;16.292;18.535;9;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;18; Villa de Vallecas;181;CascoHistóricodeVallecas;28021;40.417;19.413;21.004;419;107;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;18; Villa de Vallecas;182;SantaEugenia;28031;23.876;11.381;12.495;139;2;137;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;18; Villa de Vallecas;183;EnsanchedeVallecas;28031;53.208;25.932;27.276;730;345;385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;19; Vicálvaro;191;CascoHistóricodeVicálvaro;28031;35.519;17.009;18.510;440;121;319;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;19; Vicálvaro;192;Valdebernardo;28032;17.471;8.330;9.141;37;6;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;19; Vicálvaro;193;Valderrivas;28032;17.760;8.589;9.171;85;3;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;19; Vicálvaro;194;ElCañaveral;28032;13.054;6.652;6.402;1.085;1.068;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;20; San Blas-Canillejas;201;Simancas;28032;28.765;13.560;15.205;358;9;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;20; San Blas-Canillejas;202;Hellín;28037;9.555;4.375;5.180;175;1;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
