OBJECTID,IDPOSTE,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOPOSTE,OBSERVACIONES,IDENTIFICATIVO,CODIGOTIPOPOSTE,CODIGOEMPRESA,CODIGODARSENA,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,FECHAMAQUETACIONTIRA,FECHACOLOCACIONTIRA,IDFESTACION
848,6_324_*,20240628,6,324,*,,PS,6,100,,20030101,,,443667.7752,4480889.5043,079,28,2003/01/01 00:00:00+00,,6_324
849,6_325_*,20240628,6,325,*,,PS,6,100,,20030101,,,443483.9058,4480984.4862,079,28,2003/01/01 00:00:00+00,,6_325
850,6_326_*,20240628,6,326,*,,PS,6,100,,20030101,,,443494.4706,4480686.9136,079,28,2003/01/01 00:00:00+00,,6_326
851,6_327_*,20240628,6,327,*,,PS,6,100,,20030101,,,443532.2206,4480479.9136,079,28,2003/01/01 00:00:00+00,,6_327
852,6_328_*,20240628,6,328,*,,PS,6,100,,20030101,,,443641.5765,4479948.4136,079,28,2003/01/01 00:00:00+00,,6_328
853,6_330_*,20240628,6,330,*,,PS,6,100,,20030101,,,443381.4977,4479125.7314,079,28,2003/01/01 00:00:00+00,,6_330
854,6_331_*,20240628,6,331,*,,PS,6,100,,20160205,,,443102.194,4479080.749,079,28,2003/01/01 00:00:00+00,,6_331
855,6_332_*,20240628,6,332,*,,PS,6,100,,20030101,,,441293.8498,4472660.6503,079,28,2003/01/01 00:00:00+00,,6_332
856,6_333_*,20240628,6,333,*,,PS,6,100,,20030101,,,442786.9776,4479100.2133,079,28,2003/01/01 00:00:00+00,,6_333
857,6_334_*,20240628,6,334,*,,PS,6,100,,20210607,,,442709.11406,4478972.58873,079,28,2003/01/01 00:00:00+00,,6_334
858,6_335_*,20240628,6,335,*,,PS,6,100,,20100930,,,442673.463,4478586.763,079,28,2003/01/01 00:00:00+00,,6_335
859,6_336_*,20240628,6,336,*,,PS,6,100,,20030101,,,442642.7883,4478352.0864,079,28,2003/01/01 00:00:00+00,,6_336
860,6_337_*,20240628,6,337,*,,PS,6,100,,20030101,,,442382.0075,4478334.4041,079,28,2003/01/01 00:00:00+00,,6_337
861,6_1269_*,20240628,6,1269,*,,PS,6,100,,20030101,,,436021,4469150,079,28,2003/01/01 00:00:00+00,,6_1269
862,6_1270_*,20240628,6,1270,*,,PS,6,100,,20030101,,,435747,4469085,079,28,2003/01/01 00:00:00+00,,6_1270
863,6_1271_*,20240628,6,1271,*,,PS,6,100,,20030101,,,435493,4468987,079,28,2003/01/01 00:00:00+00,,6_1271
864,6_1272_*,20240628,6,1272,*,,PS,6,100,,20030101,,,435559,4469215,079,28,2003/01/01 00:00:00+00,,6_1272
865,6_1273_*,20240628,6,1273,*,,PS,6,100,,20030101,,,435743,4469140,079,28,2003/01/01 00:00:00+00,,6_1273
866,6_1274_*,20240628,6,1274,*,,PS,6,100,,20030101,,,435916,4469195,079,28,2003/01/01 00:00:00+00,,6_1274
867,6_1275_*,20240628,6,1275,*,,PS,6,100,,20030101,,,436141,4469317,079,28,2003/01/01 00:00:00+00,,6_1275
868,6_1276_*,20240628,6,1276,*,,PS,6,100,,20030101,,,436560,4470211,079,28,2003/01/01 00:00:00+00,,6_1276
869,6_1277_*,20240628,6,1277,*,,PS,6,100,,20100831,,,436577.87,4470455.432,079,28,2003/01/01 00:00:00+00,,6_1277
870,6_1278_*,20240628,6,1278,*,,PS,6,100,,20030101,,,436647,4470715,079,28,2003/01/01 00:00:00+00,,6_1278
871,6_1279_*,20240628,6,1279,*,,PS,6,100,,20030101,,,437070,4471161,079,28,2003/01/01 00:00:00+00,,6_1279
872,6_1280_*,20240628,6,1280,*,,PS,6,100,,20030101,,,437313,4470947,079,28,2003/01/01 00:00:00+00,,6_1280
873,6_1281_*,20240628,6,1281,*,,PS,6,100,,20190507,,,441224.8228,4473363.33623,079,28,2003/01/01 00:00:00+00,,6_1281
874,6_1282_*,20240628,6,1282,*,,PS,6,100,,20190507,,,441051.8017,4473320.42368,079,28,2003/01/01 00:00:00+00,,6_1282
875,6_1283_*,20240628,6,1283,*,,PS,6,100,,20030101,,,439442,4472787,079,28,2003/01/01 00:00:00+00,,6_1283
876,6_1284_*,20240628,6,1284,*,,PS,6,100,,20030101,,,439367,4473062,079,28,2003/01/01 00:00:00+00,,6_1284
877,6_1285_*,20240628,6,1285,*,,PS,6,100,,20190730,,,438833.67908,4473232.94847,079,28,2003/01/01 00:00:00+00,,6_1285
878,6_1287_*,20240628,6,1287,*,,PS,6,100,,20190730,,,438920.27975,4473576.35447,079,28,2003/01/01 00:00:00+00,,6_1287
879,6_1288_*,20240628,6,1288,*,,PS,6,100,,20190730,,,438908.27459,4473876.89613,079,28,2003/01/01 00:00:00+00,,6_1288
880,6_1289_*,20240628,6,1289,*,,PS,6,100,,20190730,,,438925.66221,4474037.64904,079,28,2003/01/01 00:00:00+00,,6_1289
881,6_1290_*,20240628,6,1290,*,,PS,6,100,,20030101,,,436949,4473510,079,28,2003/01/01 00:00:00+00,,6_1290
882,6_1291_*,20240628,6,1291,*,,PS,6,100,,20030101,,,436630,4473356,079,28,2003/01/01 00:00:00+00,,6_1291
883,6_1292_*,20240628,6,1292,*,,PS,6,100,,20030101,,,436330,4473210,079,28,2003/01/01 00:00:00+00,,6_1292
884,6_1293_*,20240628,6,1293,*,,PS,6,100,,20030101,,,435946,4473032,079,28,2003/01/01 00:00:00+00,,6_1293
885,6_1294_*,20240628,6,1294,*,,PS,6,100,,20101005,,,435597.322,4472863.901,079,28,2003/01/01 00:00:00+00,,6_1294
886,6_1295_*,20240628,6,1295,*,,PS,6,100,,20030101,,,435140,4472486,079,28,2003/01/01 00:00:00+00,,6_1295
887,6_1296_*,20240628,6,1296,*,,PS,6,100,,20030101,,,434913,4472264,079,28,2003/01/01 00:00:00+00,,6_1296
888,6_1297_*,20240628,6,1297,*,,PS,6,100,,20030101,,,434532,4471942,079,28,2003/01/01 00:00:00+00,,6_1297
889,6_1298_*,20240628,6,1298,*,,PS,6,100,,20110107,,,435008.679,4471677.106,079,28,2003/01/01 00:00:00+00,,6_1298
890,6_1300_*,20240628,6,1300,*,,PS,6,100,,20130909,,,435289.034,4472607.857,079,28,2003/01/01 00:00:00+00,,6_1300
891,6_1301_*,20240628,6,1301,*,,PS,6,100,,20130905,,,435667.631,4472878.052,079,28,2003/01/01 00:00:00+00,,6_1301
892,6_1302_*,20240628,6,1302,*,,PS,6,100,,20130905,,,435974.853,4473023.218,079,28,2003/01/01 00:00:00+00,,6_1302
893,6_1303_*,20240628,6,1303,*,,PS,6,100,,20130905,,,436330.455,4473190.401,079,28,2003/01/01 00:00:00+00,,6_1303
894,6_1305_*,20240628,6,1305,*,,PS,6,100,,20190729,,,439062.46838,4473930.0843,079,28,2003/01/01 00:00:00+00,,6_1305
895,6_1306_*,20240628,6,1306,*,,PS,6,100,,20190729,,,439054.81028,4473726.27015,079,28,2003/01/01 00:00:00+00,,6_1306
896,6_1307_*,20240628,6,1307,*,,PS,6,100,,20190729,,,439031.32954,4473481.89384,079,28,2003/01/01 00:00:00+00,,6_1307
897,6_1308_*,20240628,6,1308,*,,PS,6,100,,20190730,,,438960.58079,4473161.93229,079,28,2003/01/01 00:00:00+00,,6_1308
898,6_1309_*,20240628,6,1309,*,,PS,6,100,,20140522,,,439358.26,4473072.534,079,28,2003/01/01 00:00:00+00,,6_1309
899,6_1310_*,20240628,6,1310,*,,PS,6,100,,20030101,,,439436,4472768,079,28,2003/01/01 00:00:00+00,,6_1310
900,6_1311_*,20240628,6,1311,*,,PS,6,100,,20190415,,,440402.91715,4477635.07434,079,28,2003/01/01 00:00:00+00,,6_1311
901,6_1312_*,20240628,6,1312,*,,PS,6,100,,20190415,,,440377.75289,4476830.48078,079,28,2003/01/01 00:00:00+00,,6_1312
902,6_1313_*,20240628,6,1313,*,,PS,6,100,,20190415,,,440370.13411,4476631.25589,079,28,2003/01/01 00:00:00+00,,6_1313
903,6_1315_*,20240628,6,1315,*,,PS,6,100,,20190415,,,440768.04992,4475790.69529,079,28,2003/01/01 00:00:00+00,,6_1315
904,6_1318_*,20240628,6,1318,*,,PS,6,100,,20110617,,,441376.438,4475192.27,079,28,2003/01/01 00:00:00+00,,6_1318
905,6_1319_*,20240628,6,1319,*,,PS,6,100,,20030101,,,441178,4475255,079,28,2003/01/01 00:00:00+00,,6_1319
906,6_1320_*,20240628,6,1320,*,,PS,6,100,,20150121,,,440937.122,4475510.599,079,28,2003/01/01 00:00:00+00,,6_1320
907,6_1321_*,20240628,6,1321,*,,PS,6,100,,20030101,,,440779,4475784,079,28,2003/01/01 00:00:00+00,,6_1321
908,6_1323_*,20240628,6,1323,*,,PS,6,100,,20190415,,,440588.13209,4476435.04775,079,28,2003/01/01 00:00:00+00,,6_1323
909,6_1324_*,20240628,6,1324,*,,PS,6,100,,20030101,,,440511,4476655,079,28,2003/01/01 00:00:00+00,,6_1324
910,6_1325_*,20240628,6,1325,*,,PS,6,100,,20030101,,,440519,4476849,079,28,2003/01/01 00:00:00+00,,6_1325
911,6_1326_*,20240628,6,1326,*,,PS,6,100,,20110125,,,443838.13,4475966.778,079,28,2003/01/01 00:00:00+00,,6_1326
912,6_1327_*,20240628,6,1327,*,,PS,6,100,,20101025,,,444377.93,4476102.455,079,28,2003/01/01 00:00:00+00,,6_1327
913,6_1328_*,20240628,6,1328,*,,PS,6,100,,20170621,,,444716,4476162,079,28,2003/01/01 00:00:00+00,,6_1328
914,6_1329_*,20240628,6,1329,*,,PS,6,100,,20101026,,,445158.808,4476253.467,079,28,2003/01/01 00:00:00+00,,6_1329
915,6_1330_*,20240628,6,1330,*,,PS,6,100,,20030101,,,438623,4472963,079,28,2003/01/01 00:00:00+00,,6_1330
916,6_1331_*,20240628,6,1331,*,,PS,6,100,,20101018,,,445815.675,4476659.38,079,28,2003/01/01 00:00:00+00,,6_1331
917,6_1332_*,20240628,6,1332,*,,PS,6,100,,20101015,,,446023.259,4476686.407,079,28,2003/01/01 00:00:00+00,,6_1332
918,6_1333_*,20240628,6,1333,*,,PS,6,100,,20170911,,,447042,4475047,079,28,2003/01/01 00:00:00+00,,6_1333
919,6_1334_*,20240628,6,1334,*,,PS,6,100,,20170911,,,447234,4475153,079,28,2003/01/01 00:00:00+00,,6_1334
920,6_1335_*,20240628,6,1335,*,,PS,6,100,,20170911,,,447480,4475341,079,28,2003/01/01 00:00:00+00,,6_1335
921,6_1336_*,20240628,6,1336,*,,PS,6,100,,20030101,,,447301,4475632,079,28,2003/01/01 00:00:00+00,,6_1336
922,6_1337_*,20240628,6,1337,*,,PS,6,100,,20030101,,,447466,4475757,079,28,2003/01/01 00:00:00+00,,6_1337
