banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
2.0,31,1,5,28,752.0,321.0,0.0,19.0,9.0,58.0,8814.0,20091.0,237.0,309.0,0.0,-inf,0
1.0,118,1,19,27,197.0,99.0,2.0,53.0,3.0,68.0,45610.0,28798.0,148.0,121.0,240000.0,12.388394202324127,0
5.0,102,3,16,43,693.0,220.0,5.0,32.0,7.0,430.0,17046.0,42678.0,228.0,505.0,3110000.0,14.950133284155417,2
3.0,95,4,15,5,2470.0,917.0,2.0,11.0,6.0,110.0,20969.0,38751.0,928.0,2315.0,1179000.0,13.980177179519508,0
2.0,123,3,20,7,532.0,207.0,3.0,26.0,6.0,97.0,24497.0,36592.0,235.0,347.0,370000.0,12.821258284620406,0
1.0,104,3,17,19,1337.0,538.0,3.0,70.0,6.0,75.0,34753.0,22890.0,375.0,1502.0,390000.0,12.873902018105829,0
3.0,7,3,0,12,1208.0,259.0,3.0,43.0,7.0,135.0,23501.0,27030.0,137.0,582.0,0.0,-inf,2
1.0,56,0,8,20,139.0,54.0,3.0,78.0,1.0,64.0,37808.0,13604.0,45.0,79.0,65000.0,11.082142548877775,0
2.0,28,0,4,17,423.0,173.0,3.0,123.0,1.0,90.0,28741.0,13354.0,90.0,189.0,228500.0,12.339291489316397,0
2.0,7,3,0,12,1208.0,259.0,2.0,43.0,7.0,102.0,23501.0,27030.0,137.0,582.0,975000.0,13.790192749979985,0
3.0,111,4,18,9,1930.0,905.0,4.0,21.0,9.0,162.0,24621.0,36934.0,1039.0,1910.0,1100000.0,13.9108207377686,2
2.0,115,4,19,45,197.0,99.0,3.0,53.0,3.0,125.0,3421.0,28798.0,148.0,121.0,725000.0,13.493926933836812,0
2.0,50,2,7,31,1114.0,486.0,4.0,38.0,2.0,123.0,52031.0,29047.0,596.0,1135.0,395000.0,12.886641043883259,0
2.0,95,4,15,5,2470.0,917.0,3.0,11.0,6.0,130.0,20969.0,38751.0,928.0,2315.0,950000.0,13.764217263576723,0
2.0,91,4,15,0,2470.0,917.0,2.0,11.0,6.0,105.0,15444.0,38751.0,928.0,2315.0,1690000.0,14.340239086899256,0
2.0,22,0,3,38,1495.0,491.0,4.0,77.0,2.0,126.0,17878.0,13481.0,267.0,689.0,0.0,-inf,0
1.0,94,3,15,26,2470.0,917.0,3.0,11.0,6.0,69.0,41964.0,38751.0,928.0,2315.0,490000.0,13.10216067008681,0
1.0,0,1,1,44,1223.0,523.0,3.0,82.0,3.0,81.0,17903.0,17267.0,366.0,628.0,200000.0,12.206072645530172,0
1.0,107,1,17,27,1337.0,538.0,2.0,70.0,6.0,69.0,26573.0,22890.0,375.0,1502.0,0.0,-inf,0
2.0,93,3,15,26,2470.0,917.0,4.0,11.0,6.0,151.0,20929.0,38751.0,928.0,2315.0,565000.0,13.244581010128579,0
3.0,100,4,16,15,693.0,220.0,4.0,32.0,7.0,240.0,31470.0,42678.0,228.0,505.0,1500000.0,14.220975666072437,2
